BIDU,LULU,UL,RDS/A,RY,NVS,CP,GOLD,GIB,NGG,GOOGL,HD,WMT,VLO,JPM,JNJ,BA,DWDP,INTC,NEE,HYG ,CELG ,MNST ,VRML ,EA ,PGF ,EMB ,MDLZ ,LMT ,AMD 
0.02620275,0.156672809,0.056655956,-0.062668421,0.027470711,0.042373055,-0.070265254,0.00521742,0.066607787,-0.009026556,-0.033438559,0.018928097,0.147414521,-0.024406698,-0.005641005,0.010505446,0.081148679,-0.015127328,0.101531799,0.048492546,-0.011112639,0.061280404,0.111345959,-0.01285,0.071897986,0.011771212,-0.004495466,0.11139135,0.012716065,-0.003921429
-0.070027788,0.157609068,-0.039492501,0.008031306,-0.055875803,-0.04138298,-0.001000407,-0.09597889,0.041100546,-0.026822222,-0.033647024,0.060664588,-0.013579552,0.01820899,0.040126064,-0.034095381,-0.032698988,-0.05434286,-0.025871812,0.018100977,-0.008077987,-0.016196402,-0.033965661,0.259393671,0.070125359,0.003606783,-0.027134253,-0.069615306,0.005172499,-0.043110753
-0.044099948,0.187294354,0.086200215,-0.082166059,-0.172464666,0.051139559,-0.093533286,0.188822009,0.037720649,-0.004544049,0.012968631,-0.005254792,-0.010494939,0.068267628,-0.12465566,-0.042379167,0.118387631,-0.009881457,-0.089571552,0.027739057,0.00701605,0.065244947,0.079338013,-0.115593089,0.16684644,0.017898272,0.018670426,-0.029884436,-0.021825451,-0.037468384
-0.065057962,0.03317846,0.010793526,0.079222559,0.106521829,0.051300602,0.074105706,0.022731077,0.055773981,-0.025339536,0.046622025,0.098893309,-0.012389948,0.174133827,0.126850784,0.03062298,0.0439227,0.090311338,0.013585755,-0.045896421,0.022185683,0.019855125,0.206645735,0.056784082,0.042255364,0.004121576,0.00953095,0.048064651,0.069934579,0.210082632
0.022422086,-0.064982116,-0.054809431,-0.087901912,-0.036490706,-0.01175692,-0.025145752,-0.158618126,0.014907343,-0.058013912,-0.01449452,-0.005193028,-0.014578482,0.03088546,-0.011822977,-0.019032329,-0.005504408,-0.017459301,-0.059948872,0.005302687,-0.009835202,-0.051827631,-0.019702721,-0.048787097,0.028193914,0.010215468,-0.000166189,-0.01921684,0.014146363,-0.138663666
-0.039199132,-0.006171245,0.057884659,0.063134056,0.111723344,0.03211406,0.042895216,0.187720604,-0.009187308,0.043411433,-0.010926063,-0.058593139,-0.05129943,-0.105862761,0.050606262,-0.014152101,-0.045144982,0.062707293,0.040698202,-0.030221184,0.008434668,-0.062865718,-0.009535002,0.016713553,-0.012562387,-0.00367646,0.012053724,0.062939795,-0.080842616,-0.156952018
-0.014470568,-0.060587243,0.007440108,-0.04459902,-0.042960736,0.00904486,-0.13583422,-0.08529164,0.007277971,0.06293812,-0.006377487,0.041412385,-0.042243166,0.048063957,0.039744899,0.01694559,-0.013415662,0.020889692,0.065961527,0.021508428,0.003452942,0.058950573,-0.071770896,0.144353744,0.080215721,0.002073528,-0.003171013,0.083829029,0.016522376,0.008758858
0.008464438,0.092109679,-0.026999767,-0.045424633,-0.039021526,-0.042779579,-0.025557528,-0.101226638,-0.077913118,-0.070266901,-0.009728588,0.002646315,-0.045017252,0.056672233,0.030054134,-0.026808732,-0.012855764,-0.00926456,-0.117428672,-0.04216072,-0.018835805,0.011269773,0.052891788,0.004808169,0.05963032,-0.007686961,-0.018121896,-0.007259472,-0.012267241,0.052585379
-0.132904068,-0.037559603,0.054973998,0.008050568,-0.036225496,0.054819619,0.003675838,-0.337904669,-0.044717653,0.031555406,0.217308807,0.052897375,0.014609727,0.054119499,0.017663543,0.028023104,0.039094174,-0.0805141,-0.048360623,0.072947275,-0.005095458,0.133862649,0.145532006,-0.034010025,0.07574625,0.015649548,0.001277697,0.096792302,0.113846206,-0.196026933
-0.147167944,0.018294523,-0.10437535,-0.064558604,-0.04781501,-0.062939859,-0.097295717,-0.012702418,-0.010712473,-0.00660472,-0.014722533,-0.004870646,-0.093915076,-0.095426929,-0.064643322,-0.054685261,-0.087258198,-0.070123347,-0.005872293,-0.057224435,-0.015163031,-0.100342957,-0.098274918,0.0199999,-0.075471798,-0.000707776,-0.011224129,-0.061378341,-0.021342447,-0.062176266
